school,lat,lon
"Kungliga Tekniska Högskolan, Sweden",59.34998703,18.06982613
"Dartmouth College, United States",43.71815872,-72.26668549
"West Virginia University, United States",39.65337372,-79.95722198
"Czech Academy of Sciences, Czech Republic",49.73923874,15.3317976
"University of Maryland Baltimore County, United States",39.25567245,-76.70980835
"National Yang Ming Chiao Tung University, Taiwan",24.79586029,120.9847641
"Bowling Green State University, United States",41.37999725,-83.62976074
"Chinese Academy of Sciences, China",36.55937195,103.7533493
"Institute of Mathematics and Mechanics, Russian Academy of Sciences Ural Branch, Russia",38.76935577,-77.43644714
"University of New Brunswick, Canada",45.94532776,-66.64100647
"Ryerson University, Canada",43.65817642,-79.37832642
"New Jersey Institute of Technology, United States",40.34996796,-74.64857483
"Queen Mary, University of London, United Kingdom",51.41877775,-0.10312625
"Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional (CINVESTAV-IPN), Mexico",19.50056076,-99.1397171
"Universidad Nacional Autónoma de México, Mexico",19.23480034,-99.58860016
"University of Montana, United States",46.8611908,-113.9845047
"Universidad Autónoma de Madrid, Spain",40.54551315,-3.69421601
"Universidad de Salamanca, Spain",40.96622467,-5.67794704
"Freie Universität Berlin, Germany",52.4479332,13.28576183
"Rheinisch-Westfälische Technische Hochschule Aachen, Germany",50.77873611,6.07741499
"St. Petersburg State University, Russia",59.94166183,30.30098724
"Université Paris-Sud XI - Orsay, France",48.69900894,2.18785906
"Virginia Commonwealth University, United States",37.54962158,-77.44757843
"Instituto de Matemática y Ciencias Afines, Peru",-6.86996984,-75.04585266
"University of California, Davis, United States",38.54672623,-121.74433899
"Texas A&M University, United States",30.61027908,-96.34361267
"Technische Universität Berlin, Germany",52.51258087,13.32678032
"University of South Florida, United States",28.07368851,-82.40822601
"Friedrich-Alexander-Universität Erlangen-Nürnberg, Germany",49.60218048,11.01177406
"Université Sorbonne Paris Nord, France",48.9562149,2.34193301
"University of California, Riverside, United States",33.97768402,-117.32817841
"University of Alberta, Canada",53.52326965,-113.52503967
"Islamic Azad University, Iran",34.84386444,48.56145859
"Université du Québec à Montréal, Canada",45.51388931,-73.56027985
"Universidade Nova de Lisboa, Portugal",38.73181152,-9.15999603
"The University of Iowa, United States",41.66213608,-91.55791473
"Universidad de Antioquia, Colombia",6.26759291,-75.56885529
"Aix-Marseille Université, France",43.29352188,5.35791683
"Universität Wien, Austria",48.21300888,16.36086082
"University of Pittsburgh, United States",40.44416428,-79.95941925
"Uniwersytet Jagielloński, Poland",50.06082916,19.93277931
"Nanjing University of Aeronautics and Astronautics, China",32.05611038,118.77500153
"Universidade Europeia, Portugal",39.68219757,-7.96828794
"Politechnika Warszawska, Poland",52.22124481,21.00768089
"University of Westminster, London, United Kingdom",51.4773407,-0.26651415
"Eurasian National University, Kazakhstan",48.10129547,66.7780838
"State University of New York at Albany, United States",42.65172577,-73.75509644
"Universidad Autónoma de Aguascalientes, Mexico",21.91521645,-102.31822205
"University of the Witwatersrand, South Africa",-26.19293594,28.02677917
"Lomonosov Moscow State University, Russia",55.70284653,37.53059387
"Université Bourgogne Franche-Comté, France",47.19179916,5.0229001
"Université de Lille, France",50.63166046,3.07300949
"Moscow Power Engineering Institute, Russia",55.7559166,37.70923233
"Technical University, Sofia, Bulgaria",42.65721893,23.3555603
"Université Grenoble Alpes, France",45.19034958,5.76713133
"Université Paris Diderot - Paris 7, France",48.82972336,2.38083291
"University of Virginia, United States",38.03258514,-78.51531219
"University of Aberdeen, United Kingdom",57.16480255,-2.10205007
"Turun yliopisto, Finland",60.45627975,22.28525734
"University of Colorado at Boulder, United States",40.00742722,-105.26633453
"University Abdelhamid Ibn Badis of Mostaganem, Algeria",35.9288063,0.089978
"Université de Guelma, Algeria",36.46508408,7.4306469
"Université de La Rochelle, France",46.14778137,-1.15499997
"Universidad de Extremadura, Spain",39.19132614,-6.15089703
"Washington University in St. Louis, United States",38.64310074,-90.31230927
"Auburn University, United States",32.60628891,-85.47301483
"City University of Hong Kong, HongKong",22.28417015,114.13777924
"University of New Hampshire, United States",42.7785202,-71.5143457
"Universidad de Buenos Aires, Argentina",-34.600811,-58.40837479
"Università di Roma La Sapienza, Italy",41.9032135,12.51540089
"University of Western Australia, Australia",-34.06919861,150.79011536
"Leningrad State University, Russia",59.94166183,30.30098724
"Tata Institute of Fundamental Research, India",22.35250854,79.36368561
"Universität Mannheim, Germany",49.48339844,8.46297741
"Technical University of Denmark, Denmark",55.78531265,12.52049255
"Louisiana State University, United States",30.41377068,-91.16902161
"Albert-Ludwigs-Universität Freiburg im Breisgau, Germany",47.99417114,7.84694004
"The University of North Carolina at Chapel Hill, United States",35.90575027,-79.04873657
"Universiti Teknologi Malaysia, Malaysia",1.55970395,103.63807678
"University of South Australia, Australia",-34.91899872,138.60440063
"Universidade do Porto, Portugal",41.1466713,-8.61555958
"La Trobe University, Australia",-37.7223587,145.0483551
"Odesa University, Ukraine",46.48749924,30.73119926
"University of Western Ontario, Canada",42.99670029,-81.2736969
"University of Ottawa, Canada",45.38989805,-75.69382382
"Instituto Tecnológico y de Estudios Superiores de Occidente (ITESO), Mexico",20.60739708,-103.41496277
"Technische Universität Chemnitz, Germany",50.81576538,12.93005943
"Moscow Aviation Institute, Russia",55.81084824,37.50108719
"Institute for Parallel Processing, Bulgarian Academy of Sciences, Bulgaria",42.75815964,25.23507118
"Universidade Federal de Minas Gerais, Brazil",-19.91864014,-43.93569183
"Aalborg Universitet, Denmark",57.01528549,9.97899532
"Ivan Franko National University of Lviv, Ukraine",49.84018326,24.0222435
"Institute of Infrastructure Technology Research and Management (IITRAM), Ahmedabad, India",23.00416946,72.62194061
"Ulsan National Institute of Science and Technology, South Korea",35.54867554,129.31500244
"University of Canterbury, New Zealand",-43.52354431,172.58049011
"University of California, Santa Cruz, United States",36.97414017,-122.02880096
"University of Limpopo, South Africa",-23.88768959,29.73880577
"Télécom ParisTech, France",48.83514786,2.3607831
"Kent State University, United States",41.14638138,-81.34170532
"Universidade de Lisboa, Portugal",38.75367737,-9.15851593
"Southern University of Science and Technology, China",36.55937195,103.7533493
"Universidade Federal do Pará, Brazil",-1.46916485,-48.4473381
"University of Toledo, United States",41.65777206,-83.61348724
"Université de Caen Normandie, France",49.19060135,-0.3644
"University of Victoria, Canada",43.66693878,-79.39193726
"Mongolian National University of Education, Mongolia",46.83492661,103.06755066
"Virginia Polytechnic Institute and State University, United States",37.21538162,-80.42939758
"Universität Leipzig, Germany",51.33915329,12.37904644
"Steklov Institute of Mathematics, Russia",61.66702652,99.09856415
"University of Zanjan, Iran",36.68362808,48.39945602
"Sahand University of Technology, Iran",32.6475296,54.56435013
"Shanghai University, China",31.31833076,121.38722229
"George Mason University, United States",38.83257294,-77.2997818
"Université Mohamed Premier, Oujda, Morocco",34.67787552,-1.92930603
"Instituto Politécnico Nacional, Mexico",19.50056076,-99.1397171
"University of Rochester, United States",43.11229324,-77.62974548
